Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,CIS*2910*0106 (1748) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Thur 08:30AM - 10:20AM; MCKN; Room 234,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0107 (1749) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Thur 12:30PM - 02:20PM; ALEX; Room 028,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*2910*0108 (1750) Discrete Structures in Comp II,Guelph,LEC Mon; Wed; Fri 04:30PM - 05:20PM; ROZH; Room 101LAB Tues 01:30PM - 03:20PM; ALEX; Room 028,P. Matsakis,10  /  10,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0101 (1751) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Wed 02:30PM - 03:20PM; MACS; Room 129,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0102 (1752) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Mon 04:30PM - 05:20PM; MACN; Room 118,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0103 (1753) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Wed 07:00PM - 07:50PM; MCLN; Room 101,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0104 (1754) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Mon 09:30AM - 10:20AM; MACS; Room 129,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0105 (1755) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Fri 09:30AM - 10:20AM; ROZH; Room 106,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0106 (1756) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Tues 08:30AM - 09:20AM; MACS; Room 129,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3110*0107 (1757) Operating Systems,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACN; Room 105LAB Wed 04:30PM - 05:20PM; MACN; Room 118,D. Nikitenko,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3120*0101 (1758) Digital Systems I,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; CRSC; Room 117LAB Mon 02:30PM - 04:20PM; THRN; Room 2418,G. Grewal,30  /  30,0.50,Undergraduate
Winter 2023,Open,CIS*3120*0102 (1759) Digital Systems I,Guelph,LEC Mon; Wed; Fri 09:30AM - 10:20AM; CRSC; Room 117LAB Thur 02:30PM - 04:20PM; THRN; Room 2418,G. Grewal,30  /  30,0.50,Undergraduate
Winter 2023,Open,CIS*3190*DE01 (1760) Software for Legacy Systems,Guelph,Distance Education Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,M. Wirth,20  /  20,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0101 (1761) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Fri 11:30AM - 01:20PM; MCKN; Room 227,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0102 (1762) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Mon 02:30PM - 04:20PM; MCKN; Room 232,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0103 (1763) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Tues 07:00PM - 08:50PM; MCKN; Room 228,F. Wang,5  /  5,0.50,Undergraduate
Winter 2023,Open,CIS*3490*0104 (1764) Analysis ,Guelph,LEC Mon; Wed 05:30PM - 06:50PM; ROZH; Room 104LAB Thur 08:30AM - 10:20AM; MCKN; Room 230,F. Wang,5  /  5,0.50,Undergraduate
