Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Availablity/Capacity,Credits,Academic Level
Winter 2023,Open,AGR*1350*0111 (1102) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; MACN; Room 105LAB Fri 08:30AM - 11:20AM; MCKN; Room 306,M. Steele,25  /  25,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0201 (3880) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Mon 08:30AM - 11:20AM; MCKN; Room 308,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0202 (3881) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Tues 08:30AM - 11:20AM; MCKN; Room 313,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0203 (3882) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Wed 08:30AM - 11:20AM; MCKN; Room 307,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0204 (3883) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Tues 02:30PM - 05:20PM; MCKN; Room 309,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0205 (3884) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Wed 02:30PM - 05:20PM; MCKN; Room 313,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0206 (3885) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Fri 08:30AM - 11:20AM; MCKN; Room 316,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0207 (3886) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Thur 08:30AM - 11:20AM; MCKN; Room 318,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0208 (3887) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Thur 02:30PM - 05:20PM; MCKN; Room 304,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0209 (3888) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Fri 02:30PM - 05:20PM; MCKN; Room 307,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0210 (3889) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Mon 02:30PM - 05:20PM; MCKN; Room 314,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*1350*0211 (3890) Dairy/Poultry/Egg Prod,Guelph,LEC Mon; Wed; Fri 01:30PM - 02:20PM; AD-S; Room VIRTUALLAB Fri 08:30AM - 11:20AM; MCKN; Room 306,G. Bedecarrats,9  /  9,0.50,Undergraduate
Winter 2023,Open,AGR*2050*01 (1103) Agroecology,Guelph,LEC Tues; Thur 08:30AM - 09:50AM; MCKN; Room 225,J. Sulik,50  /  50,0.50,Undergraduate
Winter 2023,Open,AGR*2500*01 (1104) Field Crse Int,Guelph,LEC Tues 07:00PM - 09:50PM; MCKN; Room 059,A. Jones,18  /  18,0.50,Undergraduate
Winter 2023,Open,AGR*3010*01 (1105) Spec,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,F. Tardif,60  /  60,0.50,Undergraduate
Winter 2023,Open,AGR*3200*0101 (1106) Computing for Bioscientists,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MCKN; Room 318LAB Mon 09:30AM - 11:20AM; MCKN; Room 309,D. Tulpan,35  /  35,0.50,Undergraduate
Winter 2023,Open,AGR*4010*01 (1107) Spec,Guelph,LEC Days TBA Days TBA; Times TBA Times TBA; Room TBA Room TBA,A. Robinson,20  /  20,0.50,Undergraduate
Winter 2023,Open,AGR*4450*01 (1108) Research Project I,Guelph,LEC Tues 10:30AM - 11:20AM; MCKN; Room 119A,M. Kalischuk,10  /  10,0.50,Undergraduate
Winter 2023,Open,AGR*4460*01 (1109) Research Project II,Guelph,LEC Tues 10:30AM - 11:20AM; MCKN; Room 119A,M. Kalischuk,10  /  10,1.00,Undergraduate
Winter 2023,Open,AGR*4600*01 (1110) Agriculture and Food Issues,Guelph,LEC Tues; Thur 11:30AM - 12:50PM; MAC; Room 149,V. Osborne,130  /  130,1.00,Undergraduate
Winter 2023,Closed,ANSC*2210*0101 (1111) Animal Care and Welfare,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACS; Room 209SEM Mon 07:00PM - 08:20PM; MCKN; Room 119A,R. Bergeron,0  /  0,0.50,Undergraduate
Winter 2023,Closed,ANSC*2210*0102 (1112) Animal Care and Welfare,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACS; Room 209SEM Tues 05:30PM - 06:50PM; MCKN; Room 119,R. Bergeron,0  /  0,0.50,Undergraduate
Winter 2023,Open,ANSC*2210*0103 (1113) Animal Care and Welfare,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACS; Room 209SEM Mon 07:00PM - 08:20PM; CRSC; Room 101,R. Bergeron,1  /  1,0.50,Undergraduate
Winter 2023,Open,ANSC*2210*0104 (1114) Animal Care and Welfare,Guelph,LEC Tues; Thur 02:30PM - 03:50PM; MACS; Room 209SEM Wed 07:00PM - 08:20PM; MCKN; Room 119,R. Bergeron,1  /  1,0.50,Undergraduate
